Image_Name,Area_mm2,Perimeter_mm,Diameter_mm,Roundness,Aspect_Ratio,Solidity,Convexity,Particle_Count,Target
RRC_Lx2_scr_DMSO_28.09.23_10x_12.tif,3047.0131,235.3406,71.6314,0.6913,1.2158,0.9758,1.1641,6,Healthy
RRC_Lx2_sh_DMSO+TGFB_021023_10x_6.tif,4379.4477,414.7094,80.7159,0.32,1.0326,0.9639,1.7161,4,Healthy
RRC+LX2_SH_DMSO_3_200623_10x.tif,4524.7255,594.549,88.921,0.1609,1.0589,0.908,2.3176,4,Healthy
RRC_Lx2_scr_DMSO+TGFB_28.09.23_10x_7.tif,3842.6355,290.4676,79.2674,0.5723,1.0585,0.9595,1.2653,7,Healthy
RRC_Lx2_sh_DMSO_061023_10x_11.tif,5331.2984,541.8182,94.5249,0.2282,1.2072,0.9123,1.9288,3,Healthy
RRC_Lx2_scr_REG+TGFB_28.09.23_10x_23.tif,3021.4425,230.4366,72.1108,0.715,1.2275,0.9802,1.1469,9,Healthy
RRC_Lx2_scr_DMSO+TGFB_28.09.23_10x_6.tif,3382.5196,247.6719,70.0067,0.6929,1.0487,0.9759,1.1786,4,Healthy
RRC_Lx2_sh_REG+_28.09.23_10x_30_2.tif,3676.3773,246.6734,73.1694,0.7593,1.0474,0.9841,1.1277,7,Healthy
RRC_Lx2_scr_REG+_28.09.23_10x_28.tif,2052.9516,216.382,62.0007,0.551,1.1723,0.9431,1.2612,6,Healthy
RRC+LX2_SCR_REG_6_170623_10x.tif,2677.1078,227.2868,61.1415,0.6512,1.0861,0.9783,1.2192,3,Healthy
RRC_Lx2_sh_REG+_28.09.23_10x_31.tif,3629.5577,252.4931,77.4648,0.7154,1.003,0.9769,1.1405,6,Healthy
RRC+LX2_SH_DMSO_4_200623_10x.tif,4911.7562,487.4769,84.0338,0.2597,1.1094,0.9556,1.8926,6,Healthy
RRC_Lx2_sh_REG+_28.09.23_10x_27.tif,3500.5928,244.2582,73.1591,0.7373,1.0237,0.9797,1.1387,6,Healthy
RRC_Lx2_sh_REG+TGFB_28.09.23_10x_17.tif,1635.4512,191.5136,50.3225,0.5603,1.1477,0.9571,1.2887,8,Healthy
RRC_Lx2_sh_DMSO+TGFB_021023_10x_5.tif,4578.063,295.3449,81.7812,0.6595,1.0242,0.9842,1.211,4,Healthy
RRC_Lx2_scr_DMSO+TGFB_28.09.23_10x_4.tif,2352.8205,196.4059,57.6696,0.7665,1.0035,0.9786,1.1216,8,Healthy
RRC+LX2_SH_DMSO_5_170623_10x.tif,4243.5604,268.0243,77.3853,0.7423,1.0878,0.9857,1.1462,5,Healthy
RRC_Lx2_scr_REG+TGFB_28.09.23_10x_20.tif,2510.2627,204.9492,61.2072,0.751,1.1334,0.9762,1.1297,3,Healthy
RRC_Lx2_scr_DMSO_061023_10x_10.tif,5111.0047,410.8098,90.3038,0.3806,1.1462,0.9637,1.5506,5,Healthy
RRC_Lx2_scr_DMSO_28.09.23_10x_11_1.tif,3034.1043,235.3427,65.5557,0.6884,1.0283,0.9755,1.183,3,Healthy
RRC_Lx2_scr_DMSO+TGFB_28.09.23_10x_5.tif,3104.879,233.3542,66.5453,0.7165,1.0324,0.9809,1.16,6,Healthy
RRC_Lx2_sh_DMSO+TGFB_021023_10x_4.tif,4343.5939,263.1445,76.6907,0.7883,1.0042,0.9876,1.1159,4,Healthy
RRC+LX2_SCR_DMSO_1_200623_10x.tif,5081.5852,431.1699,87.9389,0.3435,1.1777,0.9664,1.6535,2,Healthy
RRC_Lx2_sh_REG+_28.09.23_10x_32.tif,2550.2526,207.6058,62.2788,0.7436,1.12,0.9804,1.1377,8,Healthy
Huh7_Lx2_sh_REG+TGFB_28.09.23_10x_27.tif,2988.7673,266.0439,68.5916,0.5306,1.0709,0.9658,1.3274,9,Healthy
RRC_Lx2_sh_REG+_28.09.23_10x_26.tif,3532.2455,251.4888,72.1868,0.7018,1.0614,0.979,1.1668,7,Healthy
RRC_Lx2_scr_DMSO_28.09.23_10x_10.tif,4116.591,274.3477,81.4103,0.6873,1.142,0.9575,1.1607,7,Healthy
Huh7_Lx2_sh_REG+TGFB_28.09.23_10x_23.tif,1918.8435,176.2442,51.6533,0.7763,1.0066,0.9748,1.1139,4,Healthy
HuH7+LX2_SH_REG_3_170623_10x.tif,2005.4029,211.9817,57.2662,0.5608,1.023,0.9571,1.2857,5,Healthy
RRC+LX2_SCR_DMSO_1_170623_10x.tif,4216.4268,261.22,77.316,0.7765,1.0658,0.9864,1.1214,8,Healthy
RRC_Lx2_scr_DMSO+TGFB_28.09.23_10x_1.tif,1845.2887,179.4236,51.4726,0.7203,1.0251,0.9743,1.1539,4,Healthy
RRC_Lx2_scr_REG+TGFB_28.09.23_10x_18.tif,2665.5272,217.0601,62.4647,0.7109,1.0892,0.9733,1.16,10,Healthy
RRC_Lx2_scr_REG+TGFB_28.09.23_10x_19.tif,2834.5963,220.5915,64.7997,0.732,1.0306,0.976,1.1431,7,Healthy
RRC+LX2_SCR_REG_8_170623_10x.tif,2949.006,236.6259,68.4314,0.6619,1.1904,0.9704,1.193,1,Healthy
RRC+LX2_SH_DMSO_5_200623_10x.tif,4902.7364,517.8285,86.7251,0.2298,1.0768,0.9538,2.0062,2,Healthy
RRC_Lx2_sh_DMSO+TGFB_021023_10x_1.tif,4050.5517,253.4665,76.2483,0.7923,1.0004,0.9858,1.109,9,Healthy
RRC+LX2scr_DMSO_6_140623.tif,2712.3592,207.2966,60.9574,0.7932,1.0017,0.9827,1.1064,8,Healthy
RRC+LX2_SH_DMSO_4_170623_10x.tif,4024.1409,271.9733,74.5491,0.6836,1.0284,0.9787,1.1899,6,Healthy
RRC_Lx2_sh_DMSO+TGFB_28.09.23_10x_8.tif,2898.0718,218.5782,65.0937,0.7623,1.1233,0.9812,1.1244,7,Healthy
HuH7+LX2_SH_REG_4_170623_10x.tif,2313.4329,230.7662,59.4909,0.5459,1.0089,0.9533,1.3096,10,Healthy
RRC_Lx2_scr_DMSO+TGFB_28.09.23_10x_2.tif,2327.1696,203.3357,57.3539,0.7073,1.0279,0.9765,1.1686,3,Healthy
RRC+LX2_SCR_REG_7_170623_10x.tif,2870.1845,216.2128,67.2562,0.7715,1.1053,0.98,1.1069,8,Healthy
RRC_Lx2_sh_DMSO_061023_10x_15.tif,5206.4233,558.9727,91.2725,0.2094,1.1388,0.9449,2.081,4,Healthy
RRC_Lx2_scr_DMSO+TGFB_28.09.23_10x_3.tif,3136.9766,234.0968,67.4135,0.7193,1.0732,0.9783,1.1573,7,Healthy
RRC_Lx2_sh_DMSO+TGFB_021023_10x_2.tif,3804.3754,245.1567,71.6382,0.7954,1.0101,0.9862,1.1101,9,Healthy
RRC+LX2_SH_DMSO_3_170623_10x.tif,4034.3963,363.4333,78.9512,0.3838,1.1792,0.9703,1.5759,8,Healthy
Huh7_Lx2_sh_REG+TGFB_28.09.23_10x_21.tif,2391.513,203.1469,61.8518,0.7282,1.0455,0.9758,1.1416,9,Healthy
RRC+LX2_SH_DMSO_8_200623_10x.tif,4593.6129,533.7605,85.7512,0.2026,1.1571,0.9332,2.1094,8,Healthy
RRC+LX2_SCR_DMSO_5_200623_10x.tif,4631.039,362.4184,81.1752,0.4431,1.061,0.9722,1.4727,5,Healthy
HuH7_Lx2_scr_DMSO_051023_10x_20.tif,5490.801,403.8017,92.6455,0.4232,1.2208,0.9695,1.4655,4,Healthy
Huh7_Lx2_sh_REG+_28.09.23_10x_20.tif,2339.7016,213.2854,59.8819,0.6463,1.0166,0.9639,1.2083,6,Healthy
RRC_Lx2_scr_DMSO+TGFB_021023_10x_4.tif,4804.0651,339.2411,82.3135,0.5246,1.0894,0.9779,1.356,10,Healthy
Huh7_Lx2_scr_DMSO_021023_10x_20.tif,4736.4226,418.5527,84.6539,0.3398,1.0389,0.9606,1.6562,5,Healthy
RRC+LX2_SCR_DMSO_2_200623_10x.tif,5063.8329,508.5937,89.5393,0.246,1.1735,0.941,1.9173,4,Healthy
HuH7+LX2_SH_REG_1_170623_10x.tif,2808.8342,271.8788,65.6766,0.4775,1.1211,0.9477,1.3898,3,Healthy
RRC_Lx2_sh_DMSO_021023_10x_11.tif,5040.7119,422.4195,86.2733,0.355,1.1052,0.9738,1.6326,7,Healthy
RRC+LX2_SH_DMSO_6_170623_10x.tif,4162.0669,345.0738,87.0103,0.4392,1.0217,0.9501,1.4351,9,Healthy
RRC+LX2_SH_DMSO_7_200623_10x.tif,4928.4182,619.4879,87.1416,0.1614,1.1325,0.9321,2.3676,6,Healthy
RRC+LX2_SH_REG_3_170623_10x.tif,3382.0902,258.9963,70.4607,0.6336,1.08,0.9766,1.233,8,Healthy
Huh7_Lx2_scr_DMSO_021023_10x_19.tif,4649.8107,492.8348,85.011,0.2406,1.0681,0.9469,1.9537,8,Healthy
Huh7_Lx2_sh_DMSO+TGFB_021023_10x_11.tif,5281.9396,398.3989,88.6338,0.4182,1.1304,0.9681,1.4928,7,Healthy
RRC+LX2_SH_DMSO_7_170623_10x.tif,4305.8466,298.6598,78.2153,0.6066,1.0666,0.98,1.2624,6,Healthy
RRC+LX2_SH_REG_2_170623_10x.tif,3046.871,275.259,70.4902,0.5053,1.0817,0.9467,1.3394,6,Healthy
RRC+LX2_SH_DMSO_6_200623_10x.tif,4715.1735,776.0393,87.8951,0.0984,1.1441,0.8804,2.9491,5,Healthy
RRC_Lx2_sh_DMSO_021023_10x_14.tif,5026.7095,870.928,91.6429,0.0833,1.2008,0.9047,3.2162,7,Healthy
Huh7_Lx2_sh_REG+_28.09.23_10x_32.tif,2332.149,218.0289,59.3692,0.6165,1.027,0.9651,1.2372,8,Healthy
Huh7_Lx2_sh_DMSO_28.09.23_10x_8.tif,2635.9039,204.5538,63.968,0.7916,1.0304,0.9831,1.1014,4,Healthy
Huh7_Lx2_sh_DMSO+TGFB_021023_10x_10.tif,4462.2355,341.4656,82.6568,0.4809,1.0767,0.9699,1.4064,4,Healthy
Huh7_Lx2_scr_DMSO_021023_10x_18.tif,5071.6665,397.8233,86.8317,0.4027,1.1272,0.9756,1.5359,9,Healthy
RRC+LX2_SCR_DMSO_2_170623_10x.tif,4301.9699,321.0887,78.9333,0.5244,1.0106,0.9741,1.3519,4,Healthy
Huh7_Lx2_sh_DMSO+TGFB_28.09.23_10x_12.tif,2633.8126,223.7058,64.2567,0.6614,1.0421,0.9643,1.1851,8,Healthy
RRC+LX2_SH_REG_5_170623_10x.tif,3658.2636,352.818,75.4386,0.3693,1.0612,0.9427,1.5761,11,Healthy
Huh7_Lx2_sh_REG+_28.09.23_10x_18.tif,1698.2656,167.2141,49.2605,0.7633,1.0343,0.9689,1.1167,3,Healthy
Huh7_Lx2_sh_REG+_28.09.23_10x_19.tif,2513.9324,241.7332,64.5664,0.5406,1.1378,0.961,1.3108,6,Healthy
RRC+LX2_SCR_DMSO_4_200623_10x.tif,4906.3906,520.9303,86.5985,0.2272,1.1209,0.9339,2.0036,3,Healthy
RRC_Lx2_scr_DMSO+TGFB_021023_10x_1.tif,3593.4166,241.0807,70.1116,0.7769,1.0364,0.9844,1.1215,7,Healthy
HuH7_Lx2_sh_DMSO+TGFB_051023_10x_10.tif,5339.3792,491.4646,93.614,0.2778,1.1788,0.937,1.786,4,Healthy
Huh7_Lx2_scr_DMSO_021023_10x_16.tif,5315.6434,404.5711,91.3781,0.4081,1.1819,0.9676,1.5127,4,Healthy
RRC_Lx2_sh_DMSO_28.09.23_10x_9.tif,3665.0871,247.7147,72.903,0.7506,1.079,0.9754,1.1297,9,Healthy
HuH7_Lx2_scr_DMSO_051023_10x_15.tif,6179.1771,389.7472,98.7986,0.5112,1.2681,0.9767,1.3353,9,Healthy
Huh7_Lx2_scr_DMSO+TGFB_021023_10x_24.tif,5180.3183,437.9733,91.3434,0.3394,1.1514,0.9563,1.6478,4,Healthy
HuH7+LX2_SH_DMSO_1_200623_10x.tif,3225.1546,226.4842,67.6972,0.7901,1.0974,0.9839,1.1087,2,Healthy
HuH7_Lx2_scr_DMSO+TGFB_021023_10x_3.tif,6264.8654,383.3178,99.8209,0.5358,1.3333,0.9769,1.3117,3,Healthy
HuH7_Lx2_scr_DMSO+TGFB_021023_10x_2.tif,5630.3456,389.3118,96.4134,0.4668,1.2061,0.9721,1.4093,7,Healthy
HuH7+LX2_SCR_REG_4_170623_10x.tif,2203.9749,230.751,61.1024,0.5202,1.2317,0.9451,1.3185,5,Healthy
Huh7_Lx2_sh_REG+_28.09.23_10x_29.tif,1699.739,179.2994,51.1339,0.6644,1.055,0.9652,1.1888,1,Healthy
HuH7_Lx2_scr_DMSO_051023_10x_14.tif,5953.7835,338.2409,99.2156,0.654,1.2629,0.9873,1.184,10,Healthy
Huh7_Lx2_scr_DMSO_021023_10x_17.tif,4522.8413,355.7318,82.3905,0.4491,1.0573,0.9672,1.4505,15,Healthy
HuH7_Lx2_scr_DMSO+TGFB_051023_10x_24.tif,6503.8875,386.3645,105.3275,0.5475,1.3007,0.983,1.2824,6,Healthy
Huh7_Lx2_scr_DMSO_021023_10x_15.tif,5096.1992,421.8171,88.037,0.3599,1.1504,0.9673,1.6044,8,Healthy
HuH7_Lx2_scr_DMSO+TGFB_051023_10x_4.tif,5338.9096,383.2652,90.8097,0.4567,1.1356,0.9708,1.4253,0,Healthy
Huh7_Lx2_sh_DMSO_28.09.23_10x_5.tif,2884.7706,220.3744,66.9009,0.7464,1.1496,0.982,1.1325,15,Healthy
HuH7+LX2_SH_DMSO_6_200623_10x.tif,5057.7383,308.9666,91.5586,0.6658,1.2257,0.9827,1.1947,4,Healthy
HuH7_Lx2_scr_DMSO+TGFB_021023_10x_1.tif,5882.5825,398.6049,96.3176,0.4653,1.2629,0.9728,1.4097,4,Healthy
RRC_Lx2_scr_DMSO_28.09.23_10x_9.tif,3580.1278,252.0596,74.5256,0.7081,1.0482,0.9688,1.1519,10,Healthy
Huh7_Lx2_sh_DMSO_28.09.23_10x_4.tif,2927.5901,221.1519,68.2001,0.7522,1.0328,0.981,1.1268,7,Healthy
HuH7_Lx2_scr_DMSO+TGFB_051023_10x_1.tif,5895.7137,337.766,96.0761,0.6494,1.266,0.9843,1.1988,4,Healthy
HuH7_Lx2_scr_DMSO+TGFB_051023_10x_21.tif,6153.0134,353.4144,99.7699,0.6191,1.2587,0.9879,1.2192,7,Healthy
Huh7_Lx2_scr_DMSO+TGFB_021023_10x_22.tif,3322.9949,237.4986,69.1967,0.7403,1.0031,0.9827,1.1445,9,Healthy
HuH7_Lx2_scr_DMSO_051023_10x_13.tif,5742.3212,387.2116,93.2606,0.4813,1.2072,0.9833,1.3987,5,Healthy
HuH7_Lx2_scr_DMSO+TGFB_021023_10x_4.tif,5077.063,384.3706,88.349,0.4318,1.1367,0.9751,1.4751,4,Healthy
Huh7_Lx2_sh_DMSO_28.09.23_10x_1.tif,2308.6079,193.5992,58.3429,0.774,1.0979,0.9816,1.1162,3,Healthy
HuH7+LX2_SH_DMSO_6_170623_10x.tif,3769.6059,244.3772,80.461,0.7932,1.2584,0.9862,1.0946,3,Healthy
Huh7_Lx2_scr_DMSO+TGFB_021023_10x_23.tif,4850.1156,303.5193,86.4579,0.6616,1.0883,0.9846,1.1995,5,Healthy
Huh7_Lx2_scr_DMSO_021023_10x_13.tif,5221.2195,429.0254,88.134,0.3565,1.1462,0.9641,1.6152,5,Healthy
HuH7_Lx2_scr_DMSO+TGFB_051023_10x_22.tif,5078.7218,380.7656,87.8127,0.4402,1.1272,0.9705,1.465,4,Healthy
Huh7_Lx2_scr_DMSO+TGFB_021023_10x_21.tif,5253.8515,381.9101,88.371,0.4527,1.1493,0.9631,1.4361,8,Healthy
HuH7+LX2_SH_DMSO_1_170623_10x.tif,2133.9662,180.0636,53.9069,0.8271,1.0388,0.9839,1.086,2,Healthy
Huh7_Lx2_sh_DMSO_28.09.23_10x_2.tif,2599.1234,230.6712,64.2904,0.6138,1.0022,0.9588,1.2228,7,Healthy
HuH7_Lx2_scr_DMSO+TGFB_051023_10x_23.tif,6238.9488,369.7689,102.5347,0.5734,1.3186,0.9786,1.2678,7,Healthy
HuH7_Lx2_sh_DMSO_051023_10x_4.tif,5121.9767,422.6669,89.7915,0.3603,1.1041,0.9722,1.6138,10,Healthy
RRC_Lx2_sh_DMSO+TGFB_28.09.23_10x_4.tif,2349.9508,197.1366,57.3628,0.7599,1.0158,0.98,1.1286,4,Healthy
RRC_Lx2_sh_DMSO_28.09.23_10x_16.tif,3874.4242,258.8113,80.2067,0.7269,1.0056,0.9693,1.1304,8,Healthy
RRC_Lx2_sh_REG+TGFB_28.09.23_10x_21.tif,3240.8991,245.1395,71.4135,0.6777,1.0735,0.9711,1.1762,15,Healthy
Huh7_Lx2_sh_DMSO+TGFB_28.09.23_10x_9.tif,3024.4172,303.9697,70.197,0.4113,1.0547,0.9357,1.481,10,Healthy
RRC_Lx2_scr_REG+TGFB_28.09.23_10x_17.tif,3080.8251,271.6491,70.1355,0.5246,1.1665,0.9631,1.3281,11,Healthy
RRC_Lx2_sh_REG+TGFB_28.09.23_10x_20.tif,1714.2665,170.2278,49.6595,0.7434,1.0091,0.976,1.138,4,Healthy
RRC_Lx2_sh_DMSO+TGFB_28.09.23_10x_5.tif,3074.7522,227.3912,68.6946,0.7473,1.1377,0.9814,1.1346,8,Healthy
HuH7+LX2_SH_DMSO_3_170623_10x.tif,2791.7985,208.0727,61.5668,0.8103,1.0088,0.9873,1.0995,2,Healthy
HuH7_Lx2_sh_DMSO_051023_10x_5.tif,6223.7819,477.4054,106.7522,0.3432,1.3155,0.9625,1.6049,5,Healthy
RRC_Lx2_sh_DMSO+TGFB_28.09.23_10x_7.tif,3094.0089,228.7994,66.6802,0.7427,1.013,0.981,1.1396,6,Healthy
RRC_Lx2_sh_DMSO_28.09.23_10x_15.tif,3738.0025,252.1716,76.3643,0.7387,1.0485,0.9769,1.1283,11,Healthy
RRC_Lx2_sh_REG+TGFB_28.09.23_10x_22.tif,3035.6179,238.432,70.0948,0.671,1.1316,0.9695,1.1858,4,Healthy
Huh7_Lx2_sh_DMSO_021023_10x_2.tif,4577.232,315.3238,81.7767,0.5785,1.0336,0.9721,1.2791,7,Healthy
HuH7+LX2_SH_DMSO_5_200623_10x.tif,3869.3552,294.0293,76.1625,0.5624,1.0967,0.9683,1.2949,3,Healthy
HuH7+LX2_SH_DMSO_4_170623_10x.tif,2584.6299,196.5064,61.253,0.8411,1.0556,0.9912,1.0785,2,Healthy
RRC_Lx2_sh_REG+TGFB_28.09.23_10x_23.tif,2757.6406,227.6372,63.2663,0.6687,1.0254,0.975,1.1977,8,Healthy
RRC_Lx2_sh_DMSO_28.09.23_10x_14.tif,3550.5663,259.4889,76.187,0.6626,1.0003,0.9679,1.1832,9,Healthy
RRC_Lx2_sh_DMSO+TGFB_28.09.23_10x_6.tif,2892.3448,220.579,68.7196,0.747,1.1342,0.9824,1.1321,16,Healthy
HuH7_Lx2_sh_DMSO_051023_10x_6.tif,5674.4779,385.8782,94.2675,0.4789,1.2429,0.9688,1.3899,1,Healthy
HuH7_Lx2_sh_DMSO_051023_10x_2.tif,4976.9955,504.2916,86.4395,0.2459,1.1335,0.9501,1.9381,7,Healthy
RRC_Lx2_sh_DMSO+TGFB_28.09.23_10x_2.tif,2104.3275,193.8735,55.6203,0.7035,1.0302,0.9694,1.1661,4,Healthy
HuH7+LX2_SH_DMSO_4_200623_10x.tif,3781.5448,241.5016,73.1328,0.8148,1.0433,0.9869,1.0936,5,Healthy
