Image_Name,Area_mm2,Perimeter_mm,Diameter_mm,Roundness,Aspect_Ratio,Solidity,Convexity,Particle_Count,Target
Huh7_Lx2_sh_REG+TGFB_021023_4x_21.tif,604.4331,110.5817,31.6733,0.6211,1.0572,0.9443,1.2151,6,Slightly Death
HuH7_Lx2_scr_REG+TGFB_021023_4x_29.tif,440.7789,93.0654,26.2299,0.6395,1.0098,0.9358,1.1937,22,Slightly Death
HuH7_Lx2_scr_REG+_051023_4x_26.tif,660.1181,155.1126,38.7585,0.3448,1.3535,0.8449,1.4775,1,Slightly Death
RRC_Lx2_sh_REG+_021023_4x_28.tif,1590.6425,478.4709,74.0022,0.0873,1.0558,0.6391,2.5085,9,Slightly Death
Huh7_Lx2_sh_REG+_021023_4x_30.tif,452.758,93.8133,26.1134,0.6465,1.061,0.9501,1.1969,2,Slightly Death
RRC_Lx2_scr_DMSO+TGFB_021023_4x_5.tif,957.8958,159.026,47.4581,0.476,1.4113,0.8508,1.2542,9,Slightly Death
RRC_Lx2_sh_REG+_021023_4x_29.tif,940.545,162.9759,41.6076,0.445,1.3436,0.9078,1.3752,6,Slightly Death
HuH7_Lx2_scr_REG+_051023_4x_25.tif,842.3,182.9119,40.613,0.3164,1.0434,0.8305,1.5661,4,Slightly Death
RRC_Lx2_sh_DMSO+TGFB_061023_4x_7.tif,5546.174,730.6571,102.517,0.1305,1.2955,0.8586,2.4542,10,Slightly Death
Huh7_Lx2_scr_REG+_021023_4x_25.tif,572.8174,118.71,34.0818,0.5108,1.1369,0.911,1.2782,4,Slightly Death
HuH7_Lx2_sh_REG+_051023_4x_18.tif,409.8273,102.4007,28.8699,0.4911,1.2336,0.8777,1.286,1,Slightly Death
RRC_Lx2_sh_DMSO+TGFB_061023_4x_6.tif,5058.4858,555.6281,97.9826,0.2059,1.1399,0.8953,1.995,9,Slightly Death
RRC_Lx2_scr_DMSO+TGFB_061023_4x_8.tif,7252.7922,385.3779,123.4557,0.6137,1.3449,0.9905,1.1435,12,Slightly Death
RRC_Lx2_scr_REG+TGFB_021023_4x_24.tif,355.8443,81.4484,24.1137,0.6741,1.099,0.9474,1.1635,1,Slightly Death
RRC_Lx2_scr_DMSO+TGFB_021023_4x_2.tif,6002.3052,618.8663,109.024,0.1969,1.3344,0.8806,1.9918,8,Slightly Death
RRC_Lx2_sh_DMSO+TGFB_061023_4x_4.tif,1089.7613,149.8335,45.3866,0.61,1.0959,0.9442,1.2003,11,Slightly Death
HuH7_Lx2_scr_REG+TGFB_051023_4x_29.tif,477.1887,104.3266,28.3073,0.5509,1.1245,0.9262,1.2719,12,Slightly Death
HuH7_Lx2_sh_REG+_051023_4x_32.tif,756.0773,294.9953,50.2333,0.1092,1.8405,0.6887,2.2969,2,Slightly Death
RRC_Lx2_sh_REG+TGFB_061023_4x_17.tif,448.662,116.5711,29.0585,0.4149,1.1396,0.8528,1.397,1,Slightly Death
Huh7_Lx2_sh_REG+TGFB_021023_4x_24.tif,545.3162,112.8904,30.8849,0.5377,1.0366,0.9204,1.2809,4,Slightly Death
Huh7_Lx2_scr_REG+_021023_4x_26.tif,464.5301,102.9947,27.5546,0.5503,1.115,0.9071,1.2575,3,Slightly Death
Huh7_Lx2_scr_REG+_021023_4x_27.tif,871.3827,251.1485,52.6724,0.1736,1.5662,0.7265,1.8533,1,Slightly Death
Huh7_Lx2_sh_REG+TGFB_021023_4x_25.tif,702.5051,127.2212,33.7613,0.5454,1.0899,0.9296,1.2793,1,Slightly Death
RRC_Lx2_sh_REG+TGFB_021023_4x_17.tif,636.6264,206.8031,45.3637,0.1871,2.0558,0.7747,1.8349,2,Slightly Death
RRC_Lx2_scr_DMSO_021023_4x_9.tif,5730.4533,663.3591,100.513,0.1636,1.3049,0.9047,2.2505,3,Slightly Death
RRC_Lx2_scr_DMSO_021023_4x_16.tif,4453.296,696.0486,90.6767,0.1155,1.1157,0.8283,2.6075,7,Slightly Death
